model,oof_f1,oof_auc,oof_accuracy,oof_precision,oof_recall
Random Baseline,0.8013172338090011,0.5262586805555555,0.6857638888888888,0.8107507774322523,0.7921006944444444
Logistic Regression,0.9181818181818182,0.9478925540123456,0.875,0.9637404580152672,0.8767361111111112
SVM (Linear),0.9075011504832029,0.941309799382716,0.8604166666666667,0.9657198824681684,0.8559027777777778
SVM (RBF),0.9174311926605505,0.9446569372106483,0.875,0.9727626459143969,0.8680555555555556
Random Forest,0.951894423158791,0.9652958622685185,0.9215277777777777,0.934001670843776,0.9704861111111112
Gradient Boosting,0.9542930371636053,0.9661036361882717,0.9256944444444445,0.9394449116904963,0.9696180555555556
XGBoost,0.951885565669701,0.9669566213348766,0.9229166666666667,0.9506493506493506,0.953125
LightGBM,0.9489927132447492,0.9632734133873455,0.9173611111111111,0.9373412362404742,0.9609375
