Configuration,Num_Features,F1,AUC,F1_mean,AUC_mean
Voice-only (16),16,0.9533+/-0.0076,0.9660+/-0.0097,0.9532818147326372,0.9659939236111112
+ valence discrepancy,17,0.9546+/-0.0092,0.9682+/-0.0091,0.9545684583233685,0.9681666666666666
+ valence direction,18,0.9550+/-0.0106,0.9682+/-0.0095,0.955010291925816,0.9682109375
+ confidence product,19,0.9522+/-0.0071,0.9661+/-0.0089,0.9521801387704727,0.9661328125
+ emotion mismatch,20,0.9527+/-0.0079,0.9659+/-0.0090,0.9526617578342315,0.9658793402777779
+ valence sign mismatch (all CM),21,0.9536+/-0.0087,0.9657+/-0.0088,0.9535756670299266,0.9657178819444445
Voice + Text + CM (all 26),26,0.9544+/-0.0090,0.9659+/-0.0085,0.9543900284535972,0.9658723958333333
