Classifier,R_vo,R_vcm,R_all,R_delta,M_vo,M_vcm,M_all,M_delta
LR,0.9174384489347558,0.9173851747330038,0.9178446870984815,-5.327420175194053e-05,0.5327545382794001,0.6385306760453302,0.7190422745978301,0.10577613776593009
Gradient Boosting,0.9532818147326372,0.9535756670299266,0.9543900284535972,0.00029385229728939866,0.4564727108705458,0.6640685892439595,0.7457496136012365,0.2075958783734137
XGBoost,0.9533326432671074,0.9519627313000185,0.9519627313000185,-0.0013699119670889104,0.5276561878233187,0.6531091122409073,0.727061556329849,0.1254529244175886
Random Forest,0.9477740352994649,0.9509308114591694,0.952027236361198,0.003156776159704444,0.4571678321678322,0.6570397111913358,0.7325718786923986,0.19987187902350356
